ID,innings,BattingTeam,TotalRuns,AvgWickets,MaxOvers
419154,2,Royal Challengers Bangalore,132,0.05319148936170213,15
419155,1,Chennai Super Kings,112,0.07142857142857142,19
419155,2,Delhi Daredevils,113,0.034482758620689655,18
419156,1,Kings XI Punjab,174,0.024,19
419156,2,Deccan Chargers,178,0.040983606557377046,19
419157,1,Mumbai Indians,191,0.031746031746031744,19
419157,2,Royal Challengers Bangalore,134,0.07377049180327869,19
419158,1,Rajasthan Royals,132,0.0743801652892562,19
419158,2,Kolkata Knight Riders,133,0.019230769230769232,16
419159,1,Kings XI Punjab,192,0.024390243902439025,19
419159,2,Chennai Super Kings,195,0.032520325203252036,19
419160,1,Deccan Chargers,145,0.05785123966942149,19
419160,2,Delhi Daredevils,134,0.056910569105691054,19
419161,1,Mumbai Indians,133,0.06557377049180328,19
419161,2,Kolkata Knight Riders,135,0.009009009009009009,17
419162,1,Mumbai Indians,184,0.03937007874015748,19
419162,2,Royal Challengers Bangalore,149,0.0703125,19
419163,1,Chennai Super Kings,142,0.056910569105691054,19
419163,2,Deccan Chargers,104,0.0847457627118644,19
419164,1,Deccan Chargers,82,0.08771929824561403,18
419164,2,Royal Challengers Bangalore,86,0.011904761904761904,13
419165,1,Chennai Super Kings,168,0.04032258064516129,19
419165,2,Mumbai Indians,146,0.072,19
501198,1,Chennai Super Kings,153,0.03305785123966942,19
501198,2,Kolkata Knight Riders,151,0.056910569105691054,19
501199,1,Deccan Chargers,137,0.06611570247933884,19
501199,2,Rajasthan Royals,141,0.017241379310344827,18
501200,1,Kochi Tuskers Kerala,161,0.04032258064516129,19
501200,2,Royal Challengers Bangalore,162,0.03305785123966942,18
501201,1,Delhi Daredevils,95,0.09090909090909091,17
501201,2,Mumbai Indians,99,0.018518518518518517,16
501202,1,Kings XI Punjab,112,0.064,19
501202,2,Pune Warriors,113,0.036585365853658534,13
501203,1,Kolkata Knight Riders,163,0.032520325203252036,19
501203,2,Deccan Chargers,154,0.06451612903225806,19
501204,1,Delhi Daredevils,151,0.04838709677419355,19
501204,2,Rajasthan Royals,152,0.03508771929824561,18
501205,1,Royal Challengers Bangalore,140,0.03225806451612903,19
501205,2,Mumbai Indians,143,0.008849557522123894,18
501206,1,Chennai Super Kings,188,0.03278688524590164,19
501206,2,Kings XI Punjab,193,0.034482758620689655,19
501207,1,Kochi Tuskers Kerala,148,0.06504065040650407,19
501207,2,Pune Warriors,151,0.04878048780487805,18
501208,1,Deccan Chargers,175,0.04,19
501208,2,Royal Challengers Bangalore,142,0.072,19
501209,1,Rajasthan Royals,159,0.03125,19
501209,2,Kolkata Knight Riders,160,0.008771929824561403,18
501210,1,Mumbai Indians,182,0.015873015873015872,19
501210,2,Kochi Tuskers Kerala,184,0.01652892561983471,18
501211,1,Chennai Super Kings,183,0.04132231404958678,19
501211,2,Royal Challengers Bangalore,162,0.056,19
501212,1,Deccan Chargers,165,0.06557377049180328,19
501212,2,Kings XI Punjab,166,0.017699115044247787,17
501213,1,Pune Warriors,187,0.03968253968253968,19
501213,2,Delhi Daredevils,190,0.05785123966942149,19
501214,1,Rajasthan Royals,81,0.10416666666666667,15
501214,2,Kolkata Knight Riders,85,0.02247191011235955,13
501215,1,Chennai Super Kings,131,0.038461538461538464,16
501215,2,Kochi Tuskers Kerala,135,0.03260869565217391,14
501216,1,Deccan Chargers,168,0.03278688524590164,19
501216,2,Delhi Daredevils,152,0.05737704918032787,19
501218,1,Pune Warriors,118,0.09174311926605505,17
501218,2,Mumbai Indians,124,0.024793388429752067,19
501219,1,Kochi Tuskers Kerala,132,0.056910569105691054,19
501219,2,Kolkata Knight Riders,126,0.07377049180327869,19
501220,1,Kings XI Punjab,195,0.0546875,19
501220,2,Rajasthan Royals,147,0.05785123966942149,19
501221,1,Mumbai Indians,164,0.03125,19
501221,2,Chennai Super Kings,156,0.06976744186046512,19
501222,1,Kolkata Knight Riders,171,0.03875968992248062,19
501222,2,Royal Challengers Bangalore,175,0.008849557522123894,18
501223,1,Delhi Daredevils,231,0.031746031746031744,19
501223,2,Kings XI Punjab,202,0.04878048780487805,19
501224,1,Mumbai Indians,172,0.03278688524590164,19
501224,2,Deccan Chargers,135,0.06504065040650407,19
501225,1,Kochi Tuskers Kerala,109,0.08130081300813008,19
501225,2,Rajasthan Royals,111,0.023255813953488372,14
501226,1,Chennai Super Kings,142,0.04878048780487805,19
501226,2,Pune Warriors,117,0.07317073170731707,19
501227,1,Delhi Daredevils,160,0.046511627906976744,19
501227,2,Royal Challengers Bangalore,161,0.05737704918032787,19
501228,1,Pune Warriors,141,0.04838709677419355,19
501228,2,Chennai Super Kings,145,0.016260162601626018,19
501229,1,Deccan Chargers,129,0.056,19
501229,2,Kochi Tuskers Kerala,74,0.0970873786407767,16
501230,1,Kolkata Knight Riders,148,0.05555555555555555,19
501230,2,Delhi Daredevils,131,0.07258064516129033,19
501231,1,Mumbai Indians,94,0.06451612903225806,19
501231,2,Rajasthan Royals,95,0.02727272727272727,18
501232,1,Royal Challengers Bangalore,181,0.04132231404958678,19
501232,2,Pune Warriors,155,0.04,19
501233,1,Delhi Daredevils,157,0.056,19
501233,2,Kochi Tuskers Kerala,119,0.08771929824561403,18
501234,1,Kings XI Punjab,119,0.04838709677419355,19
501234,2,Kolkata Knight Riders,120,0.01834862385321101,17
501235,1,Pune Warriors,143,0.05737704918032787,19
501235,2,Rajasthan Royals,144,0.03361344537815126,19
501236,1,Chennai Super Kings,165,0.04032258064516129,19
501236,2,Deccan Chargers,146,0.06504065040650407,19
501237,1,Mumbai Indians,159,0.04132231404958678,19
501237,2,Kings XI Punjab,136,0.06611570247933884,19
501238,1,Delhi Daredevils,140,0.048,19
501238,2,Kochi Tuskers Kerala,141,0.0297029702970297,14
501239,1,Kolkata Knight Riders,169,0.031746031746031744,19
501239,2,Deccan Chargers,149,0.04878048780487805,19
501240,1,Rajasthan Royals,147,0.04918032786885246,19
501240,2,Chennai Super Kings,149,0.017241379310344827,18
501241,1,Mumbai Indians,160,0.056451612903225805,19
501241,2,Pune Warriors,139,0.056451612903225805,19
501242,1,Kochi Tuskers Kerala,156,0.04,19
501242,2,Kolkata Knight Riders,139,0.05737704918032787,19
501243,1,Deccan Chargers,175,0.04,19
501243,2,Delhi Daredevils,179,0.04918032786885246,18
501244,1,Royal Challengers Bangalore,205,0.049586776859504134,19
501244,2,Kings XI Punjab,120,0.072,19
501245,1,Chennai Super Kings,114,0.032520325203252036,19
501245,2,Kolkata Knight Riders,61,0.031746031746031744,9
501246,1,Mumbai Indians,178,0.03225806451612903,19
501246,2,Delhi Daredevils,146,0.07936507936507936,19
501247,1,Kochi Tuskers Kerala,125,0.06976744186046512,19
501247,2,Royal Challengers Bangalore,128,0.012195121951219513,13
501248,1,Kings XI Punjab,119,0.06666666666666667,19
501248,2,Pune Warriors,120,0.045871559633027525,17
501249,1,Chennai Super Kings,196,0.024,19
501249,2,Rajasthan Royals,133,0.08264462809917356,19
501250,1,Deccan Chargers,136,0.06611570247933884,19
501250,2,Pune Warriors,137,0.035398230088495575,18
501251,1,Kings XI Punjab,163,0.06504065040650407,19
501251,2,Mumbai Indians,87,0.12345679012345678,12
501252,1,Rajasthan Royals,146,0.048,19
501252,2,Royal Challengers Bangalore,151,0.009615384615384616,16
501253,1,Chennai Super Kings,176,0.03278688524590164,19
501253,2,Delhi Daredevils,158,0.04838709677419355,19
501254,1,Kochi Tuskers Kerala,178,0.05426356589147287,19
501254,2,Kings XI Punjab,181,0.03389830508474576,18
501255,1,Kolkata Knight Riders,89,0.05,12
501255,2,Royal Challengers Bangalore,105,0.0759493670886076,12
501256,1,Deccan Chargers,135,0.049586776859504134,19
501256,2,Mumbai Indians,125,0.0625,19
501257,1,Kings XI Punjab,170,0.047244094488188976,19
501257,2,Delhi Daredevils,141,0.06451612903225806,19
501258,1,Rajasthan Royals,97,0.08849557522123894,18
501258,2,Kochi Tuskers Kerala,98,0.041666666666666664,7
501259,1,Pune Warriors,136,0.07377049180327869,19
501259,2,Deccan Chargers,138,0.03305785123966942,19
501260,1,Kings XI Punjab,232,0.015873015873015872,19
501260,2,Royal Challengers Bangalore,121,0.09433962264150944,16
501261,1,Chennai Super Kings,152,0.040983606557377046,19
501261,2,Kochi Tuskers Kerala,141,0.03937007874015748,19
501262,1,Pune Warriors,118,0.056451612903225805,19
501262,2,Kolkata Knight Riders,119,0.02912621359223301,16
501263,1,Mumbai Indians,133,0.040983606557377046,19
501263,2,Rajasthan Royals,134,0.0,13
501264,1,Deccan Chargers,198,0.016260162601626018,19
501264,2,Kings XI Punjab,116,0.08620689655172414,18
501265,1,Delhi Daredevils,56,0.047619047619047616,10
501266,1,Chennai Super Kings,128,0.06349206349206349,19
501266,2,Royal Challengers Bangalore,129,0.017241379310344827,17
501267,1,Kolkata Knight Riders,175,0.05737704918032787,19
501267,2,Mumbai Indians,178,0.03968253968253968,19
